buckets, GOLDEN_RATIO_32, 0x80000000, 0x12345678, 0x54061094
0,11,5000,1,11
1,9,0,0,10
2,10,0,0,10
3,10,0,0,8
4,10,0,44,11
5,9,0,0,9
6,10,0,0,10
7,9,0,0,11
8,11,0,0,9
9,9,0,44,9
10,10,0,0,10
11,10,0,0,9
12,10,0,0,11
13,9,0,44,10
14,10,0,0,9
15,10,0,0,10
16,9,0,0,9
17,10,0,0,10
18,10,0,44,11
19,9,0,0,9
20,10,0,0,10
21,11,0,0,10
22,9,0,44,8
23,10,0,0,11
24,10,0,0,10
25,10,0,0,9
26,9,0,0,10
27,10,0,44,10
28,10,0,0,9
29,9,0,0,10
30,10,0,0,10
31,11,0,44,10
32,8,0,0,9
33,11,0,0,10
34,10,0,0,10
35,9,0,0,9
36,10,0,44,11
37,9,0,0,10
38,11,0,0,8
39,9,0,0,11
40,10,0,45,9
41,10,0,0,10
42,9,0,0,11
43,10,0,0,9
44,10,0,0,9
45,9,0,45,10
46,10,0,0,9
47,10,0,0,11
48,10,0,0,10
49,9,0,0,9
50,10,0,45,10
51,10,0,0,9
52,9,0,0,10
53,10,0,0,10
54,10,0,45,9
55,9,0,0,11
56,11,0,0,8
57,10,0,0,10
58,10,0,0,11
59,9,0,45,9
60,10,0,0,10
61,11,0,0,10
62,8,0,0,8
63,11,0,45,11
64,9,0,0,10
65,10,0,0,10
66,10,0,0,10
67,10,0,0,9
68,9,0,45,10
69,10,0,0,10
70,9,0,0,9
71,11,0,0,11
72,9,0,45,9
73,10,0,0,9
74,9,0,0,11
75,10,0,0,9
76,10,0,0,10
77,9,0,44,11
78,11,0,0,8
79,10,0,0,10
80,9,0,0,9
81,10,0,44,10
82,10,0,0,11
83,10,0,0,9
84,9,0,0,10
85,10,0,0,9
86,10,0,44,9
87,9,0,0,11
88,11,0,0,10
89,9,0,0,9
90,10,0,0,11
91,10,0,44,8
92,10,0,0,10
93,9,0,0,11
94,10,0,0,9
95,10,0,44,10
96,10,0,0,10
97,9,0,0,8
98,10,0,0,11
99,10,0,0,10
100,9,0,44,10
101,10,0,0,10
102,10,0,0,9
103,9,0,0,9
104,10,0,44,11
105,10,0,0,9
106,9,0,0,11
107,10,0,0,8
108,10,0,0,10
109,10,0,44,10
110,9,0,0,9
111,10,0,0,11
112,10,0,0,10
113,10,0,44,8
114,10,0,0,11
115,11,0,0,9
116,8,0,0,10
117,11,0,0,11
118,10,0,45,9
119,9,0,0,9
120,10,0,0,10
121,9,0,0,9
122,11,0,45,11
123,9,0,0,10
124,10,0,0,9
125,10,0,0,10
126,9,0,0,9
127,10,0,45,10
128,10,0,0,11
129,9,0,0,9
130,10,0,0,10
131,10,0,45,10
132,10,0,0,8
133,9,0,0,11
134,10,0,0,9
135,11,0,0,10
136,9,0,45,10
137,10,0,0,9
138,10,0,0,10
139,9,0,0,10
140,11,0,0,10
141,8,0,45,10
142,11,0,0,9
143,9,0,0,10
144,10,0,0,10
145,10,0,45,9
146,9,0,0,11
147,11,0,0,10
148,9,0,0,8
149,11,0,0,11
150,10,0,44,9
151,9,0,0,10
152,10,0,0,11
153,10,0,0,9
154,9,0,44,9
155,10,0,0,10
156,10,0,0,9
157,10,0,0,11
158,9,0,0,9
159,10,0,44,10
160,10,0,0,9
161,9,0,0,9
162,10,0,0,11
163,10,0,44,10
164,9,0,0,9
165,10,0,0,11
166,10,0,0,8
167,10,0,0,10
168,9,0,44,11
169,10,0,0,9
170,11,0,0,10
171,9,0,0,10
172,11,0,44,8
173,9,0,0,11
174,10,0,0,10
175,10,0,0,10
176,10,0,0,10
177,9,0,44,9
178,10,0,0,10
179,10,0,0,10
180,10,0,0,9
181,9,0,0,11
182,10,0,44,9
183,10,0,0,9
184,9,0,0,10
185,10,0,0,9
186,10,0,44,11
187,9,0,0,10
188,10,0,0,8
189,10,0,0,11
190,9,0,0,9
191,10,0,45,10
192,10,0,0,11
193,10,0,0,9
194,9,0,0,10
195,10,0,45,10
196,10,0,0,9
197,10,0,0,11
198,9,0,0,10
199,11,0,0,9
200,8,0,45,11
201,11,0,0,8
202,10,0,0,10
203,9,0,0,11
204,10,0,45,9
205,10,0,0,10
206,11,0,0,10
207,9,0,0,8
208,10,0,0,11
209,9,0,45,10
210,10,0,0,10
211,10,0,0,10
212,9,0,0,9
213,10,0,45,10
214,10,0,0,10
215,9,0,0,10
216,10,0,0,11
217,10,0,0,8
218,10,0,45,10
219,9,0,0,10
220,10,0,0,9
221,10,0,0,11
222,9,0,0,10
223,10,0,44,8
224,11,0,0,11
225,8,0,0,9
226,11,0,0,11
227,10,0,44,11
228,10,0,0,9
229,10,0,0,9
230,9,0,0,10
231,11,0,0,9
232,9,0,44,11
233,10,0,0,10
234,10,0,0,9
235,9,0,0,10
236,10,0,44,9
237,10,0,0,10
238,9,0,0,10
239,10,0,0,9
240,10,0,0,11
241,10,0,44,9
242,9,0,0,10
